observation,age,value,region,sex
IntsvGlycControl -> LowerExtrmAmpt,60_69,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,70_79,-15.1,Andean Latin America,M
IntsvGlycControl -> LowerExtrmAmpt,80_100,-15.1,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,0_4,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,5_9,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,10_14,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,15_19,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,20_24,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,25_29,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,30_39,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,40_49,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,50_59,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,60_69,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,70_79,-39.0,Andean Latin America,M
IntsvGlycControl -> DiabeticNephropathy,80_100,-39.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,0_4,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,5_9,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,10_14,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,15_19,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,20_24,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,25_29,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,30_39,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,40_49,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,50_59,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,60_69,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,70_79,-20.0,Andean Latin America,M
RetinopathyScrn -> DiabeticRetinopathy,80_100,-20.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,0_4,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,5_9,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,10_14,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,15_19,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,20_24,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,25_29,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,30_39,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,40_49,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,50_59,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,60_69,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,70_79,-35.0,Andean Latin America,M
NeuropathyScr -> LowerExtrmAmpt,80_100,-35.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,0_4,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,5_9,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,10_14,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,15_19,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,20_24,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,25_29,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,30_39,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,40_49,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,50_59,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,60_69,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,70_79,-24.0,Andean Latin America,M
NephropathyScr -> DiabeticNephropathy,80_100,-24.0,Andean Latin America,M
DiabeticNephropathy -> Disability,0_4,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,5_9,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,10_14,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,15_19,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,20_24,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,25_29,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,30_39,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,40_49,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,50_59,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,60_69,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,70_79,0.338,Andean Latin America,M
DiabeticNephropathy -> Disability,80_100,0.338,Andean Latin America,M
DiabeticNephropathy -> Deceased,0_4,0.0,Andean Latin America,M
DiabeticNephropathy -> Deceased,5_9,0.0,Andean Latin America,M
DiabeticNephropathy -> Deceased,10_14,0.0,Andean Latin America,M
DiabeticNephropathy -> Deceased,15_19,0.0,Andean Latin America,M
DiabeticNephropathy -> Deceased,20_24,0.0007354153814203777,Andean Latin America,M
DiabeticNephropathy -> Deceased,25_29,0.002757807680326417,Andean Latin America,M
DiabeticNephropathy -> Deceased,30_39,0.006618738432783399,Andean Latin America,M
DiabeticNephropathy -> Deceased,40_49,0.01029581533988529,Andean Latin America,M
DiabeticNephropathy -> Deceased,50_59,0.016914553772668692,Andean Latin America,M
DiabeticNephropathy -> Deceased,60_69,0.022246315287966428,Andean Latin America,M
DiabeticNephropathy -> Deceased,70_79,0.0395285767513453,Andean Latin America,M
DiabeticNephropathy -> Deceased,80_100,0.0658196766371238,Andean Latin America,M
Prevalence -> DiabeticNephropathy,0_4,0.00428,Andean Latin America,M
Prevalence -> DiabeticNephropathy,5_9,0.00428,Andean Latin America,M
Prevalence -> DiabeticNephropathy,10_14,0.00436,Andean Latin America,M
Prevalence -> DiabeticNephropathy,15_19,0.004560000000000001,Andean Latin America,M
Prevalence -> DiabeticNephropathy,20_24,0.00496,Andean Latin America,M
Prevalence -> DiabeticNephropathy,25_29,0.006200000000000001,Andean Latin America,M
Prevalence -> DiabeticNephropathy,30_39,0.011000000000000001,Andean Latin America,M
Prevalence -> DiabeticNephropathy,40_49,0.020680000000000004,Andean Latin America,M
Prevalence -> DiabeticNephropathy,50_59,0.03332,Andean Latin America,M
Prevalence -> DiabeticNephropathy,60_69,0.04012,Andean Latin America,M
Prevalence -> DiabeticNephropathy,70_79,0.04916,Andean Latin America,M
Prevalence -> DiabeticNephropathy,80_100,0.08984,Andean Latin America,M
DsFreeSus -> Disability,0_4,0.03608850461122261,Andean Latin America,F
DsFreeSus -> Disability,5_9,0.04928185845802113,Andean Latin America,F
DsFreeSus -> Disability,10_14,0.062475212304819644,Andean Latin America,F
DsFreeSus -> Disability,15_19,0.07566856615161817,Andean Latin America,F
DsFreeSus -> Disability,20_24,0.08886191999841668,Andean Latin America,F
DsFreeSus -> Disability,25_29,0.1020552738452152,Andean Latin America,F
DsFreeSus -> Disability,30_39,0.12184530461541299,Andean Latin America,F
DsFreeSus -> Disability,40_49,0.14823201230901,Andean Latin America,F
DsFreeSus -> Disability,50_59,0.17461872000260706,Andean Latin America,F
DsFreeSus -> Disability,60_69,0.20100542769620408,Andean Latin America,F
DsFreeSus -> Disability,70_79,0.22739213538980113,Andean Latin America,F
DsFreeSus -> Disability,80_100,0.2603755200067974,Andean Latin America,F
DsFreeSus -> Diabetes,0_4,0.0,Andean Latin America,F
DsFreeSus -> Diabetes,5_9,0.0,Andean Latin America,F
DsFreeSus -> Diabetes,10_14,1e-09,Andean Latin America,F
DsFreeSus -> Diabetes,15_19,0.0002,Andean Latin America,F
DsFreeSus -> Diabetes,20_24,0.0003,Andean Latin America,F
DsFreeSus -> Diabetes,25_29,0.0007,Andean Latin America,F
DsFreeSus -> Diabetes,30_39,0.0013,Andean Latin America,F
DsFreeSus -> Diabetes,40_49,0.0023,Andean Latin America,F
DsFreeSus -> Diabetes,50_59,0.0028,Andean Latin America,F
DsFreeSus -> Diabetes,60_69,0.0018,Andean Latin America,F
DsFreeSus -> Diabetes,70_79,0.0044,Andean Latin America,F
DsFreeSus -> Diabetes,80_100,0.0116,Andean Latin America,F
Diabetes -> Disability,0_4,0.031,Andean Latin America,F
Diabetes -> Disability,5_9,0.031,Andean Latin America,F
Diabetes -> Disability,10_14,0.031,Andean Latin America,F
Diabetes -> Disability,15_19,0.031,Andean Latin America,F
Diabetes -> Disability,20_24,0.031,Andean Latin America,F
Diabetes -> Disability,25_29,0.031,Andean Latin America,F
Diabetes -> Disability,30_39,0.031,Andean Latin America,F
Diabetes -> Disability,40_49,0.031,Andean Latin America,F
Diabetes -> Disability,50_59,0.031,Andean Latin America,F
Diabetes -> Disability,60_69,0.031,Andean Latin America,F
Diabetes -> Disability,70_79,0.031,Andean Latin America,F
Diabetes -> Disability,80_100,0.031,Andean Latin America,F
