timestamp,author,element_label,value
2067-01-01,avenir,DsFreeSus -> COPDEpsd,112115
2068-01-01,avenir,DsFreeSus -> COPDEpsd,114116
2069-01-01,avenir,DsFreeSus -> COPDEpsd,116093
2070-01-01,avenir,DsFreeSus -> COPDEpsd,118097
2071-01-01,avenir,DsFreeSus -> COPDEpsd,120068
2072-01-01,avenir,DsFreeSus -> COPDEpsd,122035
2073-01-01,avenir,DsFreeSus -> COPDEpsd,124030
2074-01-01,avenir,DsFreeSus -> COPDEpsd,125973
2075-01-01,avenir,DsFreeSus -> COPDEpsd,127849
2076-01-01,avenir,DsFreeSus -> COPDEpsd,129616
2077-01-01,avenir,DsFreeSus -> COPDEpsd,131299
2078-01-01,avenir,DsFreeSus -> COPDEpsd,132972
2079-01-01,avenir,DsFreeSus -> COPDEpsd,134419
2080-01-01,avenir,DsFreeSus -> COPDEpsd,135826
2081-01-01,avenir,DsFreeSus -> COPDEpsd,137155
2082-01-01,avenir,DsFreeSus -> COPDEpsd,138391
2083-01-01,avenir,DsFreeSus -> COPDEpsd,139662
2084-01-01,avenir,DsFreeSus -> COPDEpsd,140854
2085-01-01,avenir,DsFreeSus -> COPDEpsd,141916
2086-01-01,avenir,DsFreeSus -> COPDEpsd,142859
2087-01-01,avenir,DsFreeSus -> COPDEpsd,143686
2088-01-01,avenir,DsFreeSus -> COPDEpsd,144538
2089-01-01,avenir,DsFreeSus -> COPDEpsd,145084
2090-01-01,avenir,DsFreeSus -> COPDEpsd,145689
2091-01-01,avenir,DsFreeSus -> COPDEpsd,146274
2092-01-01,avenir,DsFreeSus -> COPDEpsd,146744
2093-01-01,avenir,DsFreeSus -> COPDEpsd,147262
2094-01-01,avenir,DsFreeSus -> COPDEpsd,147768
2095-01-01,avenir,DsFreeSus -> COPDEpsd,148192
2096-01-01,avenir,DsFreeSus -> COPDEpsd,148627
2097-01-01,avenir,DsFreeSus -> COPDEpsd,148973
2098-01-01,avenir,DsFreeSus -> COPDEpsd,149271
2099-01-01,avenir,DsFreeSus -> COPDEpsd,149557
2100-01-01,avenir,DsFreeSus -> COPDEpsd,149944
2101-01-01,avenir,DsFreeSus -> COPDEpsd,150275
2102-01-01,avenir,DsFreeSus -> COPDEpsd,150560
2103-01-01,avenir,DsFreeSus -> COPDEpsd,150807
2104-01-01,avenir,DsFreeSus -> COPDEpsd,151023
2105-01-01,avenir,DsFreeSus -> COPDEpsd,151210
2106-01-01,avenir,DsFreeSus -> COPDEpsd,151369
2107-01-01,avenir,DsFreeSus -> COPDEpsd,151501
2108-01-01,avenir,DsFreeSus -> COPDEpsd,151605
2109-01-01,avenir,DsFreeSus -> COPDEpsd,151682
2110-01-01,avenir,DsFreeSus -> COPDEpsd,151731
2111-01-01,avenir,DsFreeSus -> COPDEpsd,151756
2112-01-01,avenir,DsFreeSus -> COPDEpsd,151758
2113-01-01,avenir,DsFreeSus -> COPDEpsd,151740
2114-01-01,avenir,DsFreeSus -> COPDEpsd,151705
2115-01-01,avenir,DsFreeSus -> COPDEpsd,151654
2116-01-01,avenir,DsFreeSus -> COPDEpsd,151589
2117-01-01,avenir,DsFreeSus -> COPDEpsd,151511
2118-01-01,avenir,DsFreeSus -> COPDEpsd,151421
2119-01-01,avenir,DsFreeSus -> COPDEpsd,151321
2019-01-01,avenir,COPDEpsd,392150
2020-01-01,avenir,COPDEpsd,406370
2021-01-01,avenir,COPDEpsd,421240
2022-01-01,avenir,COPDEpsd,436720
2023-01-01,avenir,COPDEpsd,452805
2024-01-01,avenir,COPDEpsd,469459
2025-01-01,avenir,COPDEpsd,486658
2026-01-01,avenir,COPDEpsd,504391
2027-01-01,avenir,COPDEpsd,522642
2028-01-01,avenir,COPDEpsd,541416
2029-01-01,avenir,COPDEpsd,560737
2030-01-01,avenir,COPDEpsd,580617
2031-01-01,avenir,COPDEpsd,601222
2032-01-01,avenir,COPDEpsd,622599
2033-01-01,avenir,COPDEpsd,644774
2034-01-01,avenir,COPDEpsd,667753
2035-01-01,avenir,COPDEpsd,691538
2036-01-01,avenir,COPDEpsd,716141
2037-01-01,avenir,COPDEpsd,741546
2038-01-01,avenir,COPDEpsd,767730
2039-01-01,avenir,COPDEpsd,794695
2040-01-01,avenir,COPDEpsd,822443
2041-01-01,avenir,COPDEpsd,851008
2042-01-01,avenir,COPDEpsd,880469
2043-01-01,avenir,COPDEpsd,910879
2044-01-01,avenir,COPDEpsd,942238
2045-01-01,avenir,COPDEpsd,974536
2046-01-01,avenir,COPDEpsd,1007747
2047-01-01,avenir,COPDEpsd,1041847
2048-01-01,avenir,COPDEpsd,1076916
2049-01-01,avenir,COPDEpsd,1112757
2050-01-01,avenir,COPDEpsd,1149241
2051-01-01,avenir,COPDEpsd,1186137
2052-01-01,avenir,COPDEpsd,1223492
2053-01-01,avenir,COPDEpsd,1261289
2054-01-01,avenir,COPDEpsd,1299472
2055-01-01,avenir,COPDEpsd,1337926
2056-01-01,avenir,COPDEpsd,1376630
2057-01-01,avenir,COPDEpsd,1415456
2058-01-01,avenir,COPDEpsd,1454339
2059-01-01,avenir,COPDEpsd,1493163
2060-01-01,avenir,COPDEpsd,1531947
2061-01-01,avenir,COPDEpsd,1570656
2062-01-01,avenir,COPDEpsd,1609198
2063-01-01,avenir,COPDEpsd,1647464
2064-01-01,avenir,COPDEpsd,1685395
2065-01-01,avenir,COPDEpsd,1722936
2066-01-01,avenir,COPDEpsd,1760068
2067-01-01,avenir,COPDEpsd,1796683
2068-01-01,avenir,COPDEpsd,1832631
2069-01-01,avenir,COPDEpsd,1867860
2070-01-01,avenir,COPDEpsd,1902261
2071-01-01,avenir,COPDEpsd,1935743
2072-01-01,avenir,COPDEpsd,1968229
2073-01-01,avenir,COPDEpsd,1999558
2074-01-01,avenir,COPDEpsd,2029680
2075-01-01,avenir,COPDEpsd,2058579
2076-01-01,avenir,COPDEpsd,2086255
2077-01-01,avenir,COPDEpsd,2112697
2078-01-01,avenir,COPDEpsd,2137820
2079-01-01,avenir,COPDEpsd,2161724
2080-01-01,avenir,COPDEpsd,2184312
2081-01-01,avenir,COPDEpsd,2205599
2082-01-01,avenir,COPDEpsd,2225595
2083-01-01,avenir,COPDEpsd,2244171
2084-01-01,avenir,COPDEpsd,2261369
2085-01-01,avenir,COPDEpsd,2277281
2086-01-01,avenir,COPDEpsd,2292022
2087-01-01,avenir,COPDEpsd,2305657
2088-01-01,avenir,COPDEpsd,2318003
2089-01-01,avenir,COPDEpsd,2329502
2090-01-01,avenir,COPDEpsd,2340052
2091-01-01,avenir,COPDEpsd,2349667
2092-01-01,avenir,COPDEpsd,2358545
2093-01-01,avenir,COPDEpsd,2366606
2094-01-01,avenir,COPDEpsd,2373862
2095-01-01,avenir,COPDEpsd,2380443
2096-01-01,avenir,COPDEpsd,2386318
2097-01-01,avenir,COPDEpsd,2391621
2098-01-01,avenir,COPDEpsd,2396429
2099-01-01,avenir,COPDEpsd,2400748
2100-01-01,avenir,COPDEpsd,2404373
2101-01-01,avenir,COPDEpsd,2407372
2102-01-01,avenir,COPDEpsd,2409805
2103-01-01,avenir,COPDEpsd,2411727
2104-01-01,avenir,COPDEpsd,2413186
2105-01-01,avenir,COPDEpsd,2414230
2106-01-01,avenir,COPDEpsd,2414902
2107-01-01,avenir,COPDEpsd,2415247
2108-01-01,avenir,COPDEpsd,2415309
2109-01-01,avenir,COPDEpsd,2415131
2110-01-01,avenir,COPDEpsd,2414765
2111-01-01,avenir,COPDEpsd,2414247
2112-01-01,avenir,COPDEpsd,2413610
2113-01-01,avenir,COPDEpsd,2412885
2114-01-01,avenir,COPDEpsd,2412097
2115-01-01,avenir,COPDEpsd,2411268
2116-01-01,avenir,COPDEpsd,2410418
2117-01-01,avenir,COPDEpsd,2409566
2118-01-01,avenir,COPDEpsd,2408729
2119-01-01,avenir,COPDEpsd,2407924
2019-01-01,avenir,COPDEpsd -> Deceased,4352
2020-01-01,avenir,COPDEpsd -> Deceased,4544
2021-01-01,avenir,COPDEpsd -> Deceased,4702
2022-01-01,avenir,COPDEpsd -> Deceased,4869
2023-01-01,avenir,COPDEpsd -> Deceased,5051
2024-01-01,avenir,COPDEpsd -> Deceased,5246
